<tab:targetpop_in_nowt>
            0.015149	            0.011852	            0.017056	            0.006152	            0.015127	            0.019384	            0.014256	            0.011232	            0.015072	            0.003408	            0.012821	            0.017542
            0.156897	            0.307719	            0.287268	            0.738562	            0.302902	            0.226271	            0.177848	            0.330033	            0.343546	            0.851605	            0.381251	            0.273421
            0.010697	            0.011616	            0.016021	            0.018428	            0.014676	            0.016009	            0.010576	            0.011528	            0.015906	            0.018212	            0.014637	            0.016007
         9999.000000	         9999.000000	         9999.000000	         9999.000000	         9999.000000	         9999.000000	           -0.006876	           -0.005845	            0.054223	            0.020302	           -0.041511	           -0.038634
         9999.000000	         9999.000000	         9999.000000	         9999.000000	         9999.000000	         9999.000000	            0.874901	            0.894743	            0.279892	            0.659069	            0.408879	            0.463982
         9999.000000	         9999.000000	         9999.000000	         9999.000000	         9999.000000	         9999.000000	            0.043670	            0.044174	            0.050158	            0.046004	            0.050243	            0.052734
            0.063550	            0.067803	            0.104057	            0.111815	            0.076377	            0.075212	            0.066999	            0.071444	            0.110124	            0.119269	            0.080114	            0.078826
            0.115729	            0.120267	            0.112734	            0.121244	            0.116347	            0.117221	            0.114653	            0.119284	            0.111085	            0.119859	            0.115651	            0.116415
        12497.000000	        10904.000000	         5354.000000	         4583.000000	         7033.000000	         6201.000000	        12497.000000	        10904.000000	         5354.000000	         4583.000000	         7033.000000	         6201.000000
            2.005638	            1.041107	            1.133405	            0.111451	            1.062460	            1.466109	           11.224372	           11.027548	            5.382507	            8.588764	           11.195762	           10.250890
